"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"3/4/2025","3/4/2025","3/5/2025","AAPL","AAPL 3/21/2025 Put $200.00","STC","1","$0.37","$36.94"
"3/4/2025","3/4/2025","3/5/2025","KO","KO 3/28/2025 Put $65.00","STC","1","$0.14","$13.94"
"3/4/2025","3/4/2025","3/5/2025","KO","KO 3/28/2025 Put $65.00","STC","2","$0.14","$27.90"
"3/4/2025","3/4/2025","3/5/2025","KO","KO 3/28/2025 Put $65.00","STC","4","$0.14","$55.82"
"3/4/2025","3/4/2025","3/5/2025","KO","KO 3/28/2025 Put $65.00","STC","1","$0.14","$13.94"
"3/4/2025","3/4/2025","3/5/2025","KO","KO 3/28/2025 Put $65.00","STC","2","$0.14","$27.90"
"3/4/2025","3/4/2025","3/5/2025","NVDA","NVDA 4/17/2025 Put $105.00","STC","1","$4.33","$432.93"
"3/4/2025","3/4/2025","3/5/2025","NVDA","NVDA 4/17/2025 Call $105.00","STC","1","$16.74","$1,673.90"
"3/3/2025","3/3/2025","3/4/2025","NVDA","NVDA 4/17/2025 Call $105.00","BTO","1","$15.01","($1,501.04)"
"3/3/2025","3/3/2025","3/4/2025","NVDA","NVDA 4/17/2025 Put $105.00","BTO","1","$5.33","($533.04)"
"3/3/2025","3/3/2025","3/4/2025","QQQ","QQQ 3/21/2025 Call $530.00","STC","1","$1.07","$106.94"
"3/3/2025","3/3/2025","3/4/2025","QQQ","QQQ 3/21/2025 Call $525.00","BTC","1","$1.75","($175.04)"
"3/3/2025","3/3/2025","3/4/2025","QQQ","QQQ 3/21/2025 Call $525.00","BTC","1","$1.75","($175.04)"
"3/3/2025","3/3/2025","3/4/2025","QQQ","QQQ 3/21/2025 Call $530.00","STC","1","$1.07","$106.94"
"3/3/2025","3/3/2025","3/4/2025","QQQ","QQQ 3/21/2025 Call $530.00","STC","1","$1.06","$105.94"
"3/3/2025","3/3/2025","3/4/2025","QQQ","QQQ 3/21/2025 Call $525.00","BTC","1","$1.72","($172.04)"
"3/3/2025","3/3/2025","3/4/2025","QQQ","QQQ 3/21/2025 Call $525.00","BTC","1","$1.73","($173.04)"
"3/3/2025","3/3/2025","3/4/2025","QQQ","QQQ 3/21/2025 Call $530.00","STC","1","$1.05","$104.94"
"3/3/2025","3/3/2025","3/4/2025","QQQ","QQQ 3/21/2025 Call $525.00","BTC","1","$1.73","($173.04)"
"3/3/2025","3/3/2025","3/4/2025","QQQ","QQQ 3/21/2025 Call $530.00","STC","1","$1.06","$105.94"
"3/3/2025","3/3/2025","3/4/2025","QQQ","QQQ 3/21/2025 Call $525.00","BTC","1","$1.73","($173.04)"
"3/3/2025","3/3/2025","3/4/2025","QQQ","QQQ 3/21/2025 Call $530.00","STC","1","$1.06","$105.94"
"3/3/2025","3/3/2025","3/4/2025","QQQ","QQQ 3/21/2025 Call $530.00","STC","1","$1.06","$105.94"
"3/3/2025","3/3/2025","3/4/2025","QQQ","QQQ 3/21/2025 Call $525.00","BTC","1","$1.73","($173.04)"
"2/28/2025","2/28/2025","2/28/2025","","Interest Payment","INT","","","$13.86"
"2/28/2025","2/28/2025","2/28/2025","","Gold Deposit Boost Payment","GDBP","","","$0.42"
"2/28/2025","2/28/2025","3/3/2025","QQQ","QQQ 3/21/2025 Call $530.00","BTO","7","$1.97","($1,379.28)"
"2/28/2025","2/28/2025","3/3/2025","QQQ","QQQ 3/21/2025 Call $525.00","STO","7","$3.09","$2,162.63"
"2/27/2025","2/27/2025","2/28/2025","SOFI","SOFI 2/28/2025 Put $14.00","BTC","2","$0.07","($14.08)"
"2/27/2025","2/27/2025","2/28/2025","META","META 2/28/2025 Put $655.00","BTC","1","$0.66","($66.04)"
"2/27/2025","2/27/2025","2/28/2025","META","META 2/28/2025 Put $650.00","STC","1","$0.47","$46.94"
"2/26/2025","2/26/2025","2/27/2025","META","META 2/28/2025 Put $655.00","STO","1","$5.30","$529.93"
"2/26/2025","2/26/2025","2/27/2025","META","META 2/28/2025 Put $650.00","BTO","1","$3.95","($395.04)"
"2/24/2025","2/24/2025","2/25/2025","META","META 2/28/2025 Put $670.00","STC","2","$8.52","$1,703.86"
"2/24/2025","2/24/2025","2/25/2025","META","META 2/28/2025 Put $675.00","BTC","2","$10.90","($2,180.08)"
"2/21/2025","2/21/2025","2/24/2025","SOFI","SOFI 2/28/2025 Put $14.00","STO","1","$0.19","$18.94"
"2/21/2025","2/21/2025","2/24/2025","SOFI","SOFI 2/28/2025 Put $14.00","STO","1","$0.19","$18.94"
"2/21/2025","2/21/2025","2/24/2025","KO","KO 3/28/2025 Put $65.00","BTO","2","$0.13","($26.08)"
"2/21/2025","2/21/2025","2/24/2025","KO","KO 3/28/2025 Put $65.00","BTO","1","$0.13","($13.04)"
"2/21/2025","2/21/2025","2/24/2025","KO","KO 3/28/2025 Put $65.00","BTO","1","$0.13","($13.04)"
"2/21/2025","2/21/2025","2/24/2025","KO","KO 3/28/2025 Put $65.00","BTO","6","$0.13","($78.24)"
"2/21/2025","2/21/2025","2/24/2025","META","META 2/21/2025 Put $680.00","STC","1","$0.09","$8.94"
"2/21/2025","2/21/2025","2/24/2025","META","META 2/21/2025 Put $685.00","BTC","1","$0.22","($22.04)"
"2/19/2025","2/19/2025","2/20/2025","NVDA","NVDA 3/21/2025 Put $120.00","BTC","3","$2.54","($762.12)"
"2/19/2025","2/19/2025","2/20/2025","NVDA","NVDA 3/21/2025 Put $115.00","STC","3","$1.70","$509.85"
"2/19/2025","2/19/2025","2/20/2025","META","META 2/21/2025 Put $680.00","BTO","1","$1.31","($131.04)"
"2/19/2025","2/19/2025","2/20/2025","META","META 2/21/2025 Put $685.00","STO","1","$1.91","$190.94"
"2/18/2025","2/18/2025","2/19/2025","META","META 2/28/2025 Put $675.00","STO","1","$2.57","$256.94"
"2/18/2025","2/18/2025","2/19/2025","META","META 2/28/2025 Put $675.00","STO","1","$2.56","$255.94"
"2/18/2025","2/18/2025","2/19/2025","META","META 2/28/2025 Put $670.00","BTO","1","$2.06","($206.04)"
"2/18/2025","2/18/2025","2/19/2025","META","META 2/28/2025 Put $670.00","BTO","1","$2.07","($207.04)"
"2/18/2025","2/18/2025","2/19/2025","NVDA","NVDA 3/21/2025 Put $120.00","BTC","1","$2.10","($210.04)"
"2/18/2025","2/18/2025","2/19/2025","NVDA","NVDA 3/21/2025 Put $115.00","STC","1","$1.40","$139.94"
"2/18/2025","2/18/2025","2/19/2025","NVDA","NVDA 3/21/2025 Put $120.00","BTC","1","$2.12","($212.04)"
"2/18/2025","2/18/2025","2/19/2025","NVDA","NVDA 3/21/2025 Put $115.00","STC","1","$1.42","$141.94"
"2/18/2025","2/18/2025","2/18/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"2/14/2025","2/14/2025","2/18/2025","AAPL","AAPL 4/17/2025 Put $210.00","BTO","1","$0.99","($99.04)"
"2/14/2025","2/14/2025","2/18/2025","AAPL","AAPL 3/21/2025 Put $200.00","BTO","1","$0.25","($25.04)"
"2/14/2025","2/14/2025","2/18/2025","SOFI","SOFI 1/16/2026 Call $12.00","STC","1","$5.75","$574.93"
"2/12/2025","2/12/2025","2/13/2025","NVDA","NVDA 3/21/2025 Put $120.00","STO","5","$4.73","$2,364.72"
"2/12/2025","2/12/2025","2/13/2025","NVDA","NVDA 3/21/2025 Put $115.00","BTO","5","$3.28","($1,640.20)"
"2/12/2025","2/12/2025","2/13/2025","META","META 2/14/2025 Put $685.00","BTC","1","$0.54","($54.04)"
"2/12/2025","2/12/2025","2/13/2025","META","META 2/14/2025 Put $675.00","STC","1","$0.29","$28.94"
"2/11/2025","2/11/2025","2/12/2025","META","META 2/14/2025 Put $685.00","STO","1","$1.33","$132.94"
"2/11/2025","2/11/2025","2/12/2025","META","META 2/14/2025 Put $675.00","BTO","1","$0.71","($71.04)"
"2/7/2025","2/7/2025","2/10/2025","MSFT","MSFT 1/16/2026 Call $385.00","BTO","1","$59.60","($5,960.04)"
"2/7/2025","2/7/2025","2/10/2025","GOOGL","GOOGL 1/16/2026 Call $175.00","BTO","1","$30.34","($3,034.04)"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 1/16/2026 Call $95.00","STC","1","$35.00","$3,499.85"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/14/2025 Put $95.00","STC","1","$0.88","$87.94"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/14/2025 Put $99.00","BTC","1","$1.79","($179.04)"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/7/2025 Put $94.00","STC","3","$0.13","$38.86"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/7/2025 Put $99.00","BTC","3","$0.64","($192.12)"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/7/2025 Put $99.00","BTC","1","$0.60","($60.04)"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/7/2025 Put $94.00","STC","1","$0.12","$11.94"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/7/2025 Put $99.00","BTC","1","$0.60","($60.04)"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/7/2025 Put $94.00","STC","1","$0.12","$11.94"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/7/2025 Put $94.00","STC","1","$0.14","$13.94"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/7/2025 Put $99.00","BTC","1","$0.77","($77.04)"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/7/2025 Put $99.00","BTC","2","$0.77","($154.08)"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/7/2025 Put $94.00","STC","2","$0.14","$27.90"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/7/2025 Put $94.00","STC","1","$0.14","$13.94"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/7/2025 Put $94.00","STC","1","$0.14","$13.94"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/7/2025 Put $99.00","BTC","1","$0.77","($77.04)"
"2/6/2025","2/6/2025","2/7/2025","PLTR","PLTR 2/7/2025 Put $99.00","BTC","1","$0.77","($77.04)"
"2/5/2025","2/5/2025","2/6/2025","SOFI","SOFI 1/16/2026 Call $12.00","BTO","1","$5.45","($545.04)"
"2/5/2025","2/5/2025","2/6/2025","PLTR","PLTR 1/16/2026 Call $95.00","BTO","1","$29.00","($2,900.04)"
"2/4/2025","2/4/2025","2/5/2025","MSFT","MSFT 2/14/2025 Put $385.00","STC","1","$0.64","$63.94"
"2/4/2025","2/4/2025","2/5/2025","MSFT","MSFT 2/14/2025 Put $395.00","BTC","1","$1.54","($154.04)"
"2/4/2025","2/4/2025","2/5/2025","CMG","CMG 2/7/2025 Put $55.00","BTC","1","$0.76","($76.04)"
"2/4/2025","2/4/2025","2/5/2025","PLTR","PLTR 2/14/2025 Put $99.00","STO","1","$2.51","$250.94"
"2/4/2025","2/4/2025","2/5/2025","PLTR","PLTR 2/14/2025 Put $95.00","BTO","1","$1.46","($146.04)"
"2/4/2025","2/4/2025","2/5/2025","PLTR","PLTR 2/7/2025 Put $99.00","STO","3","$1.37","$410.85"
"2/4/2025","2/4/2025","2/5/2025","PLTR","PLTR 2/7/2025 Put $94.00","BTO","3","$0.53","($159.12)"
"2/4/2025","2/4/2025","2/5/2025","PLTR","PLTR 2/7/2025 Put $94.00","BTO","1","$0.53","($53.04)"
"2/4/2025","2/4/2025","2/5/2025","PLTR","PLTR 2/7/2025 Put $99.00","STO","4","$1.37","$547.81"
"2/4/2025","2/4/2025","2/5/2025","PLTR","PLTR 2/7/2025 Put $99.00","STO","2","$1.37","$273.90"
"2/4/2025","2/4/2025","2/5/2025","PLTR","PLTR 2/7/2025 Put $94.00","BTO","2","$0.53","($106.08)"
"2/4/2025","2/4/2025","2/5/2025","PLTR","PLTR 2/7/2025 Put $99.00","STO","1","$1.37","$136.94"
"2/4/2025","2/4/2025","2/5/2025","PLTR","PLTR 2/7/2025 Put $94.00","BTO","4","$0.53","($212.16)"
"2/3/2025","2/3/2025","2/4/2025","MSFT","MSFT 2/14/2025 Put $385.00","BTO","1","$1.20","($120.04)"
"2/3/2025","2/3/2025","2/4/2025","MSFT","MSFT 2/14/2025 Put $395.00","STO","1","$2.49","$248.94"
"2/3/2025","2/3/2025","2/4/2025","CMG","CMG 2/7/2025 Put $55.00","STO","1","$1.35","$134.94"
"1/31/2025","1/31/2025","2/3/2025","PLTR","Option Expiration for PLTR 1/31/2025 Put $50.00","OEXP","1S","",""
"1/31/2025","1/31/2025","1/31/2025","","Interest Payment","INT","","","$7.09"
"1/31/2025","1/31/2025","1/31/2025","","Gold Deposit Boost Payment","GDBP","","","$0.42"
"1/30/2025","1/30/2025","1/30/2025","","Interest Payment","INT","","","$13.64"
"1/30/2025","1/30/2025","1/31/2025","MSFT","MSFT 1/31/2025 Put $420.00","BTC","1","$4.12","($412.04)"
"1/30/2025","1/30/2025","1/31/2025","MSFT","MSFT 1/31/2025 Put $415.00","STC","1","$1.97","$196.94"
"1/30/2025","1/30/2025","1/31/2025","NVDA","NVDA 1/31/2025 Put $109.00","BTC","1","$0.13","($13.04)"
"1/29/2025","1/29/2025","1/30/2025","NVDA","NVDA 1/31/2025 Put $109.00","STO","1","$0.47","$46.94"
"1/28/2025","1/28/2025","1/29/2025","META","META 1/31/2025 Put $565.00","STC","1","$0.82","$81.94"
"1/28/2025","1/28/2025","1/29/2025","META","META 1/31/2025 Put $575.00","BTC","1","$1.16","($116.04)"
"1/28/2025","1/28/2025","1/29/2025","META","META 1/31/2025 Put $590.00","BTC","1","$1.93","($193.04)"
"1/28/2025","1/28/2025","1/29/2025","META","META 1/31/2025 Put $580.00","STC","1","$1.36","$135.94"
"1/27/2025","1/27/2025","1/28/2025","MSFT","MSFT 1/31/2025 Call $470.00","BTC","1","$0.45","($45.04)"
"1/27/2025","1/27/2025","1/28/2025","MSFT","MSFT 1/31/2025 Call $480.00","STC","1","$0.22","$21.94"
"1/27/2025","1/27/2025","1/28/2025","MSFT","MSFT 1/31/2025 Call $480.00","STC","1","$0.22","$21.94"
"1/27/2025","1/27/2025","1/28/2025","MSFT","MSFT 1/31/2025 Call $470.00","BTC","1","$0.45","($45.04)"
"1/24/2025","1/24/2025","1/27/2025","MSFT","MSFT 1/31/2025 Put $415.00","BTO","1","$0.85","($85.04)"
"1/24/2025","1/24/2025","1/27/2025","MSFT","MSFT 1/31/2025 Put $420.00","STO","1","$1.30","$129.94"
"1/24/2025","1/24/2025","1/27/2025","META","META 1/31/2025 Put $565.00","BTO","1","$2.07","($207.04)"
"1/24/2025","1/24/2025","1/27/2025","META","META 1/31/2025 Put $575.00","STO","1","$3.05","$304.94"
"1/24/2025","1/24/2025","1/27/2025","META","META 1/31/2025 Put $580.00","BTO","1","$3.70","($370.04)"
"1/24/2025","1/24/2025","1/27/2025","META","META 1/31/2025 Put $590.00","STO","1","$5.30","$529.93"
"1/23/2025","1/23/2025","1/24/2025","MSFT","MSFT 1/31/2025 Call $470.00","STO","2","$1.94","$387.89"
"1/23/2025","1/23/2025","1/24/2025","MSFT","MSFT 1/31/2025 Call $480.00","BTO","2","$0.94","($188.08)"
"1/22/2025","1/22/2025","1/23/2025","PLTR","PLTR 2/14/2025 Put $67.00","BTC","1","$2.17","($217.04)"
"1/22/2025","1/22/2025","1/23/2025","PLTR","PLTR 10/17/2025 Call $65.00","STC","2","$23.00","$4,599.78"
"1/22/2025","1/22/2025","1/23/2025","PLTR","PLTR 10/17/2025 Call $65.00","BTO","1","$23.00","($2,300.04)"
"1/21/2025","1/21/2025","1/22/2025","META","META 1/24/2025 Put $580.00","STC","1","$0.46","$45.94"
"1/21/2025","1/21/2025","1/22/2025","META","META 1/24/2025 Put $590.00","BTC","1","$1.05","($105.04)"
"1/17/2025","1/17/2025","1/21/2025","AAPL","Option Expiration for AAPL 1/17/2025 Put $200.00","OEXP","2S","",""
"1/17/2025","1/17/2025","1/21/2025","PLTR","PLTR 10/17/2025 Call $65.00","BTO","1","$19.65","($1,965.04)"
"1/17/2025","1/17/2025","1/21/2025","META","META 1/24/2025 Put $590.00","STO","1","$2.41","$240.94"
"1/17/2025","1/17/2025","1/21/2025","META","META 1/24/2025 Put $580.00","BTO","1","$1.26","($126.04)"
"1/17/2025","1/17/2025","1/21/2025","PLTR","PLTR 2/14/2025 Put $67.00","STO","1","$3.70","$369.93"
"1/17/2025","1/17/2025","1/17/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"1/15/2025","1/15/2025","1/16/2025","SOFI","SOFI 9/19/2025 Call $12.00","STC","1","$5.05","$504.93"
"1/15/2025","1/15/2025","1/16/2025","SOFI","SOFI 9/19/2025 Call $12.00","STC","1","$5.05","$504.93"
"1/15/2025","1/15/2025","1/16/2025","PLTR","PLTR 2/21/2025 Put $70.00","BTC","1","$6.85","($685.04)"
"1/15/2025","1/15/2025","1/16/2025","META","META 2/14/2025 Put $545.00","BTC","2","$6.82","($1,364.08)"
"1/15/2025","1/15/2025","1/16/2025","META","META 2/14/2025 Put $535.00","STC","2","$5.30","$1,059.88"
"1/10/2025","1/10/2025","1/13/2025","PLTR","PLTR 1/31/2025 Put $50.00","BTO","1","$0.20","($20.04)"
"1/10/2025","1/10/2025","1/13/2025","SOFI","SOFI 9/19/2025 Call $12.00","BTO","2","$4.35","($870.08)"
"1/10/2025","1/10/2025","1/13/2025","PLTR","PLTR 1/31/2025 Put $74.00","BTC","1","$9.39","($939.04)"
"1/10/2025","1/10/2025","1/13/2025","PLTR","PLTR 2/21/2025 Put $70.00","STO","1","$8.90","$889.92"
"1/7/2025","1/7/2025","1/8/2025","SOFI","SOFI 1/31/2025 Put $15.00","BTC","1","$1.05","($105.03)"
"1/3/2025","1/3/2025","1/6/2025","AAPL","Option Expiration for AAPL 1/3/2025 Put $200.00","OEXP","1S","",""
"1/3/2025","1/3/2025","1/6/2025","META","META 2/14/2025 Put $535.00","BTO","2","$9.08","($1,816.06)"
"1/3/2025","1/3/2025","1/6/2025","META","META 2/14/2025 Put $545.00","STO","2","$11.12","$2,223.86"
"1/2/2025","1/2/2025","1/2/2025","","Gold Deposit Boost Payment","GDBP","","","$0.42"
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
